Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
0.000365003,1.41734e-05,3.18999e-05,0.00021622,5.66224e-05,2.60361e-05,2.00508e-05


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
2,15.1908,15.2483,11.3413,0.0106294,0.49444,0.4986,3.4198,0.00363761,3.68269,3.7402,9.61473,0.0103159,0.168615,0.172774,2.55135,0.000226889,, , 0.530275,6.59864,0.293982,15.1163,10.1133,9.61473,0.0103159,0.0155217,0.193371,0.129148,0.0188706,0.00853657,0.640836,2.55135,0.000226889,0.920125
3,4.20976,4.23486,7.27491,0.0209823,0.172757,0.174378,2.84225,0.0025258,0.891837,0.916941,6.41674,0.0203553,0.0691148,0.0707356,1.11272,0.000313878,, , 0.230974,1.44982,0.127988,5.23262,3.23549,6.41674,0.0203553,0.0293457,0.0898215,0.0417726,0.00825636,0.00755516,0.204585,1.11272,0.000313878,1.73961
4,6.19016,6.24684,7.76882,0.0390584,0.2773,0.280471,5.75511,0.00118538,1.10338,1.16006,6.418,0.0378043,0.134789,0.137961,2.29709,0.000288959,, , 0.465706,1.54823,0.249511,8.74862,4.72399,6.418,0.0378043,0.0584488,0.180066,0.0761984,0.0164865,0.0118465,0.284231,2.29709,0.000288959,3.46485
5,1.53087,1.55173,7.03986,0.057737,0.0878314,0.0890798,7.74521,0.000713183,0.274663,0.295519,5.50404,0.0552289,0.0482754,0.0495238,0.831375,0.000327044,, , 0.171425,0.307138,0.0916197,6.2831,1.66169,5.50404,0.0552289,0.116473,0.0677392,0.024022,0.00603799,0.017688,0.0855392,0.831375,0.000327044,6.90454
4,6.19016,6.24684,7.76807,0.0390584,0.2773,0.280471,5.70684,0.00118538,1.10338,1.16006,6.41725,0.0378043,0.134789,0.137961,2.24882,0.000288959,, , 0.465706,1.54823,0.249511,8.74862,4.72399,6.41725,0.0378043,0.0584488,0.180066,0.0761984,0.0164865,0.0118465,0.284231,2.24882,0.000288959,3.46485
5,1.53087,1.55173,7.03798,0.057737,0.0878314,0.0890798,7.692,0.000713183,0.274663,0.295519,5.50216,0.0552289,0.0482754,0.0495238,0.77816,0.000327044,, , 0.171425,0.307138,0.0916197,6.2831,1.66169,5.50216,0.0552289,0.116473,0.0677392,0.024022,0.00603799,0.017688,0.0855392,0.77816,0.000327044,6.90454
6,2.4446,2.48863,8.44087,0.109384,0.15022,0.152963,15.3837,0.000657009,0.446146,0.490173,5.5035,0.104368,0.0962108,0.0989544,1.55633,0.00053882,, , 0.345801,0.409594,0.180924,11.9572,2.77019,5.5035,0.104368,0.232886,0.136377,0.0467762,0.0120118,0.0313899,0.125166,1.55633,0.00053882,13.8055
7,0.470058,0.4712,9.57565,0.246109,0.0295271,0.0298448,49.3697,0.00124525,0.385814,0.386956,0.0131549,0.229024,0.0162013,0.0165191,0.206948,0.00102803,, , 0.00998722,0.757676,0.00510665,12.0326,0.287442,0.0131549,0.229024,0.827824,0.0132089,0.0183357,0.00117583,0.107445,0.0520212,0.206948,0.00102803,49.0734
8,0.0286179,0.0287544,0.0180282,0.000566175,0.000539232,0.000545359,0.0602445,8.31351e-07,0.00198127,0.00211777,0.00205734,0.00054532,8.73793e-05,9.35063e-05,0.00022534,5.66185e-07,, , 0.00126532,0.00218914,0.000644581,0.0803593,0.0212423,0.00205734,0.00054532,0.00101147,7.3678e-05,8.89254e-05,1.82822e-05,0.000321226,0.00074128,0.00022534,5.66185e-07,0.0599602
Total,38.0736,30.2703,53.2771,0.485331,1.28427,1.22496,84.6719,0.00803035,6.9022,6.99195,34.7053,0.458499,0.5505,0.545637,8.62806,0.00273004,, , 1.823,11.0806,0.990543,66.3248,24.4279,34.7053,0.458499,1.2825,0.692136,0.339823,0.0641782,0.186405,1.4432,8.62806,0.00273004,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11478,0.00818958,1.51033,18.9599,0.0203841,3.75926
6,2.4446,2.48863,8.44027,0.109384,0.15022,0.152963,15.3482,0.000657009,0.446146,0.490173,5.5029,0.104368,0.0962108,0.0989544,1.52083,0.00053882,, , 0.345801,0.409594,0.180924,11.9572,2.77019,5.5029,0.104368,0.232886,0.136377,0.0467762,0.0120118,0.0313899,0.125166,1.52083,0.00053882,13.8055
7,0.470058,0.4712,9.57555,0.246109,0.0295271,0.0298448,49.3662,0.00124525,0.385814,0.386956,0.0130593,0.229024,0.0162013,0.0165191,0.203443,0.00102803,, , 0.00998722,0.757676,0.00510665,12.0326,0.287442,0.0130593,0.229024,0.827824,0.0132089,0.0183357,0.00117583,0.107445,0.0520212,0.203443,0.00102803,49.0734
8,0.0286179,0.0287544,0.0180343,0.000566175,0.000539232,0.000545359,0.0602466,8.31351e-07,0.00198127,0.00211777,0.00206338,0.00054532,8.73793e-05,9.35063e-05,0.000227483,5.66185e-07,, , 0.00126532,0.00218914,0.000644581,0.0803593,0.0212423,0.00206338,0.00054532,0.00101147,7.3678e-05,8.89254e-05,1.82822e-05,0.000321226,0.00074128,0.000227483,5.66185e-07,0.0599602
Total,38.0737,30.2703,53.2736,0.485493,1.28535,1.22588,84.547,0.0101242,6.90227,6.99197,34.7018,0.458662,0.551582,0.546562,8.50321,0.00288327,, , 1.82308,11.0806,0.990543,66.3248,24.4279,34.7018,0.458662,1.2825,0.694113,0.339823,0.0642087,0.186405,1.4432,8.50321,0.00288327,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11771,0.0081898,1.51037,19.2021,0.0203854,3.75951
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,8.00863,0,1.81752,0.00101404,0.0727043,0,0.111504,6.44972e-06,0.115586,0,1.23285,0.001007,0.0182584,0,0.0876581,6.36022e-06,, , 0.0674838,0.00733546,0.0407669,6.87397,1.61456,1.23285,0.001007,0.000987789,0.0134257,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,6.36022e-06,0.0585562
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
